Metabolite	PDX119-Tumor	PDX240-Tumor	PDX240-Plasma	PDX119-Liver	PDX119-Plasma	PDX240-Liver
GSSG	1.15E+00	9.38E-01	2.75E-01	7.90E-01	8.37E-01	5.50E-01
L-erythrulose	8.66E-01	5.91E-01	7.73E-01	8.96E-01	9.31E-01	7.79E-01
"9,10-hydroxyoctadec-12(Z)-enoate/12,13-hydroxyoctadec-9(Z)-enoate"	9.56E-01	9.81E-01	8.80E-01	1.47E+00	1.35E+00	1.30E+00
L-homocysteine	3.17E-01	2.76E-01	3.96E-01	5.08E-01	5.19E-01	3.22E-01
(R)-carnitine	1.17E+00	9.46E-01	1.11E+00	1.54E+00	1.30E+00	1.14E+00
3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine)	7.85E-01	6.52E-01	8.79E-01	8.36E-01	1.01E+00	1.11E+00
C14H24O3(4)	1.38E+00	1.16E+00	1.37E+00	2.55E+00	1.45E+00	2.31E+00
L-methionine	7.39E-01	3.75E-01	5.96E-01	7.10E-01	8.31E-01	6.21E-01
glycine betaine	1.46E+00	8.79E-01	9.25E-01	1.59E+00	1.44E+00	1.14E+00
kynurenate	1.26E+00	1.08E+00	1.20E+00	6.36E-01	9.04E-01	7.91E-01
C20H28O(5)	8.30E-01	1.28E+00	1.74E+00	9.21E-01	1.08E+00	1.23E+00
"7,9-dihydro-1H-purine-2688(3H)-trione"	1.18E+00	1.17E+00	6.54E-01	6.69E-01	9.20E-01	4.02E-01
aspartate	1.44E+00	9.79E-01	6.40E-01	1.21E+00	8.08E-01	1.48E+00
 Hypoxanthine 	1.34E+00	1.01E+00	8.44E-01	1.20E+00	7.56E-01	1.50E+00
nonanoate	1.06E+00	8.74E-01	8.35E-01	1.13E+00	9.35E-01	1.08E+00
sphingosine/(2S)-1-hydroxy-3-oxooctadecan-2-aminium	1.11E+00	8.93E-01	9.83E-01	7.26E-01	1.04E+00	1.06E+00
N-acetylneuraminic acid	1.30E+00	7.72E-01	1.77E+00	8.33E-01	2.12E+00	8.32E-01
beta-carboline	3.81E-01	1.03E+00	6.43E-01	1.54E+00	2.36E-01	2.23E+00
3-dehydro-L-gulonate/D-glucuronate/L-iduronate	1.80E+00	9.47E-01	1.66E+00	1.26E+00	1.81E+00	1.32E+00
beta-hydroxy-beta-methylbutyrate	1.02E+00	1.03E+00	1.19E+00	1.09E+00	1.18E+00	1.09E+00
2-methylglutaconic acid	8.57E-01	8.41E-01	8.05E-01	8.91E-01	9.75E-01	7.70E-01
Ureidopropionic acid/Glycyl-glycine	1.05E+00	7.62E-01	1.30E+00	1.09E+00	1.04E+00	1.15E+00
benzoate	1.01E+00	4.96E-01	5.61E-01	7.48E-01	9.61E-01	6.11E-01
4-pyridoxate	8.41E-01	1.19E+00	6.27E-01	6.13E-01	5.98E-01	2.82E-01
Azelaic acid	1.35E+00	1.11E+00	9.24E-01	1.69E+00	1.05E+00	1.37E+00
Malonate/3-hydroxypyruvate	1.09E+00	9.59E-01	9.43E-01	1.15E+00	1.11E+00	1.08E+00
stearate	1.16E+00	9.38E-01	9.06E-01	1.45E+00	9.40E-01	1.35E+00
15(S)-Hydroxyeicosatrienoic acid	1.10E+00	8.22E-01	2.06E+00	1.28E+00	1.38E+00	2.15E+00
limonene/(+)-alpha-pinene	8.48E-01	1.13E+00	1.35E+00	1.34E+00	1.04E+00	9.54E-01
L-asparagine	1.05E+00	7.64E-01	1.29E+00	1.09E+00	1.04E+00	1.15E+00
decenoyl carnitine	1.85E+00	7.19E-01	1.28E+00	3.33E+00	1.68E+00	1.63E+00
C5H10O5(6)	1.22E+00	1.12E+00	8.27E-01	9.03E-01	1.04E+00	7.69E-01
C9H13N5O3(4)	1.13E+00	8.41E-01	8.38E-01	7.01E-01	8.92E-01	4.20E-01
2-deoxycytidine	8.87E-01	2.39E-01	1.09E+00	8.31E-01	8.91E-01	8.18E-01
