Metabolite,PDX119-Tumor	PDX240-Tumor	PDX240-Plasma	PDX119-Liver	PDX119-Plasma	PDX240-Liver
GSSG	1.89E-01	7.70E-01	1.21E-01	1.09E-01	6.32E-01	2.28E-03
L-erythrulose	3.05E-01	2.04E-05	1.25E-01	9.44E-02	5.97E-01	1.68E-01
"9,10-hydroxyoctadec-12(Z)-enoate/12,13-hydroxyoctadec-9(Z)-enoate"	8.94E-01	9.49E-01	4.30E-01	7.15E-02	8.79E-02	2.17E-01
L-homocysteine	5.63E-04	1.46E-03	2.43E-02	5.17E-03	1.48E-03	4.91E-02
(R)-carnitine	1.59E-02	5.62E-01	5.33E-01	1.50E-03	8.83E-03	3.05E-01
3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine)	1.28E-01	2.63E-03	5.59E-01	3.00E-01	9.31E-01	1.20E-01
C14H24O3(4)	2.15E-01	3.15E-01	3.41E-01	3.17E-03	1.44E-01	2.59E-02
L-methionine	9.81E-02	2.16E-02	2.88E-02	1.48E-03	1.92E-01	3.60E-03
glycine betaine	2.64E-05	3.36E-01	4.68E-01	1.55E-03	8.04E-04	2.14E-01
kynurenate	1.48E-01	6.80E-01	3.39E-01	8.00E-03	6.19E-01	5.71E-01
C20H28O(5)	6.61E-01	4.48E-01	2.19E-01	7.26E-01	8.38E-01	2.40E-01
"7,9-dihydro-1H-purine-2688(3H)-trione"	2.25E-01	3.19E-01	6.67E-02	1.22E-01	6.29E-01	3.57E-04
aspartate	1.82E-03	9.04E-01	5.42E-02	3.44E-01	1.79E-01	2.55E-02
 Hypoxanthine 	9.40E-02	9.48E-01	6.99E-01	5.00E-02	4.55E-01	4.33E-03
nonanoate	7.25E-01	3.09E-01	8.60E-02	1.85E-01	4.69E-01	1.89E-01
sphingosine/(2S)-1-hydroxy-3-oxooctadecan-2-aminium	5.24E-01	2.83E-01	9.48E-01	4.34E-02	8.67E-01	4.99E-01
N-acetylneuraminic acid	2.41E-02	9.03E-02	2.71E-01	2.11E-01	9.29E-02	3.67E-01
beta-carboline	1.44E-01	9.15E-01	1.89E-01	7.96E-02	3.48E-01	4.73E-01
3-dehydro-L-gulonate/D-glucuronate/L-iduronate	2.37E-01	5.22E-01	1.25E-01	3.36E-01	5.69E-02	5.65E-02
beta-hydroxy-beta-methylbutyrate	8.35E-01	7.97E-01	2.65E-01	3.68E-01	1.42E-01	4.61E-01
2-methylglutaconic acid	1.66E-01	4.44E-01	2.70E-01	8.22E-02	8.86E-01	1.47E-01
Ureidopropionic acid/Glycyl-glycine	5.51E-01	5.07E-02	1.99E-01	4.44E-01	8.63E-01	2.00E-01
benzoate	8.69E-01	5.21E-03	8.20E-03	7.69E-02	8.18E-01	4.52E-03
4-pyridoxate	6.31E-01	3.45E-01	1.94E-01	9.38E-02	2.04E-01	1.13E-02
Azelaic acid	4.41E-01	7.82E-01	6.30E-01	9.80E-02	7.94E-01	3.64E-01
Malonate/3-hydroxypyruvate	4.02E-01	8.08E-01	7.63E-01	1.08E-01	2.39E-01	4.79E-01
stearate	4.51E-02	7.29E-01	5.91E-01	2.13E-01	2.86E-01	3.49E-01
15(S)-Hydroxyeicosatrienoic acid	6.00E-01	7.18E-01	1.00E-01	3.18E-01	2.75E-01	2.60E-02
limonene/(+)-alpha-pinene	5.29E-01	5.15E-01	2.32E-01	1.99E-01	7.96E-01	6.45E-01
L-asparagine	5.48E-01	5.52E-02	2.02E-01	4.39E-01	8.61E-01	1.98E-01
